school,conference,state,base_url,roster_url,status,notes
American University,Patriot League,DC,https://www.aueagles.com,,needs_investigation,HTTP 404
Appalachian State University,Sun Belt Conference,NC,https://appstatesports.com,,needs_investigation,Error: Exceeded 30 redirects.
Boston University,Patriot League,MA,https://www.goterriers.com,https://goterriers.com/sports/baseball/roster,confirmed_missing,
Bradley University,Missouri Valley Conference,IL,https://www.bradleybraves.com,,needs_investigation,Error: Exceeded 30 redirects.
Butler University,BIG EAST Conference,IN,https://www.butlersports.com,,needs_investigation,Error: Exceeded 30 redirects.
Canisius University,Metro Atlantic Athletic Conference,NY,https://www.gogriffs.com,,needs_investigation,Error: Exceeded 30 redirects.
Central Connecticut State University,Northeast Conference,CT,https://www.ccsubluedevils.com,,needs_investigation,HTTP 404
Chicago State University,Northeast Conference,IL,https://www.gocsucougars.com,,needs_investigation,HTTP 404
Cleveland State University,Horizon League,OH,https://www.csuvikings.com,,needs_investigation,HTTP 404
Colgate University,Patriot League,NY,https://gocolgateraiders.com,,needs_investigation,Error: Exceeded 30 redirects.
Colorado State University,Mountain West Conference,CO,https://www.csurams.com,,needs_investigation,HTTP 200 but no baseball/roster content
DePaul University,BIG EAST Conference,IL,https://www.depaulbluedemons.com,,needs_investigation,HTTP 200 but no baseball/roster content
Drake University,Missouri Valley Conference,IA,https://godrakebulldogs.com,,needs_investigation,Error: Exceeded 30 redirects.
Drexel University,Coastal Athletic Association,PA,https://www.drexeldragons.com,,needs_investigation,HTTP 200 but no baseball/roster content
Duquesne University,Atlantic 10 Conference,PA,https://www.GoDuquesne.com,,needs_investigation,HTTP 404
East Texas A&M University,Southland Conference,TX,https://www.lionathletics.com,,needs_investigation,HTTP 404
Eastern Washington University,Big Sky Conference,WA,https://goeags.com,,needs_investigation,HTTP 404
"Fairleigh Dickinson University, Metropolitan Campus",Northeast Conference,NJ,https://www.fduknights.com,,needs_investigation,Error: Exceeded 30 redirects.
Florida Gulf Coast University,Atlantic Sun Conference,FL,https://fgcuathletics.com,,needs_investigation,Error: Exceeded 30 redirects.
Furman University,Southern Conference,SC,https://www.furmanpaladins.com,,needs_investigation,Error: Exceeded 30 redirects.
Gardner-Webb University,Big South Conference,NC,https://gwusports.com,,needs_investigation,Error: Exceeded 30 redirects.
Georgetown University,BIG EAST Conference,DC,https://guhoyas.com,,needs_investigation,Error: Exceeded 30 redirects.
Georgia State University,Sun Belt Conference,GA,https://georgiastatesports.com,,needs_investigation,Error: Exceeded 30 redirects.
Gonzaga University,West Coast Conference,WA,https://www.gozags.com,,needs_investigation,Error: Exceeded 30 redirects.
Grambling State University,Southwestern Athletic Conf.,LA,https://www.gsutigers.com,,needs_investigation,Error: Exceeded 30 redirects.
Hampton University,Coastal Athletic Association,VA,https://hamptonpirates.com,,needs_investigation,Error: Exceeded 30 redirects.
Howard University,Mid-Eastern Athletic Conf.,DC,https://www.hubison.com,,needs_investigation,Error: Exceeded 30 redirects.
Idaho State University,Big Sky Conference,ID,https://www.isubengals.com,,needs_investigation,HTTP 404
Indiana University Indianapolis,Horizon League,IN,https://iuindyjags.com,,needs_investigation,HTTP 404
Iona University,Metro Atlantic Athletic Conference,NY,https://www.ionagaels.com,,needs_investigation,Error: Exceeded 30 redirects.
Iowa State University,Big 12 Conference,IA,https://www.cyclones.com,,needs_investigation,HTTP 200 but no baseball/roster content
Jacksonville State University,Conference USA,AL,https://www.jaxstatesports.com,,needs_investigation,Error: Exceeded 30 redirects.
Kennesaw State University,Conference USA,GA,https://www.ksuowls.com,,needs_investigation,Error: Exceeded 30 redirects.
Longwood University,Big South Conference,VA,https://longwoodlancers.com,,needs_investigation,Error: Exceeded 30 redirects.
Loyola University Chicago,Atlantic 10 Conference,IL,https://www.loyolaramblers.com,,needs_investigation,Error: Exceeded 30 redirects.
Loyola University Maryland,Patriot League,MD,https://www.loyolagreyhounds.com,,needs_investigation,HTTP 404
Marquette University,BIG EAST Conference,WI,https://www.gomarquette.com,,needs_investigation,HTTP 200 but no baseball/roster content
Montana State University-Bozeman,Big Sky Conference,MT,https://www.msubobcats.com,,needs_investigation,HTTP 200 but no baseball/roster content
Morgan State University,Mid-Eastern Athletic Conf.,MD,https://www.morganstatebears.com,,needs_investigation,HTTP 404
New Mexico State University,Conference USA,NM,https://www.nmstatesports.com,,needs_investigation,Error: Exceeded 30 redirects.
North Dakota State University,The Summit League,ND,https://www.GoBison.com,,needs_investigation,Error: Exceeded 30 redirects.
Northeastern University,Coastal Athletic Association,MA,https://www.nuhuskies.com,,needs_investigation,Error: Exceeded 30 redirects.
Northern Arizona University,Big Sky Conference,AZ,https://www.nauathletics.com,,needs_investigation,HTTP 404
Northern Kentucky University,Horizon League,KY,https://www.nkunorse.com,,needs_investigation,Error: Exceeded 30 redirects.
Oakland University,Horizon League,MI,https://goldengrizzlies.com,,needs_investigation,Error: Exceeded 30 redirects.
